PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=776 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=784 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=790 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=784 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=784 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=797 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=806 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=792 ms
